time_ms,accel_x_raw,accel_y_raw,accel_z_raw,uv_raw,accel_valid,uv_valid,uv_new,sensor_error_mask,pump_on,accel_fifo_skipped_total,log_dropped_total
41768,16,-5391,141,0,1,0,0,0,0,0,0
41778,24,-5375,145,0,1,0,0,0,0,0,0
41788,26,-5378,146,0,1,0,0,0,0,0,0
41798,13,-5387,149,0,1,0,0,0,0,0,0
41806,9,-5388,150,0,1,0,0,0,0,0,0
41816,30,-5384,143,0,1,0,0,0,0,0,0
41826,19,-5387,142,0,1,0,0,0,0,0,0
41836,14,-5376,139,0,1,0,0,0,0,0,0
41846,24,-5383,139,0,1,0,0,0,0,0,0
41856,29,-5382,139,0,1,0,0,0,0,0,0
41866,9,-5384,142,0,1,0,0,0,0,0,0
41876,24,-5382,137,0,1,0,0,0,0,0,0
41886,9,-5378,151,0,1,0,0,0,0,0,0
41896,30,-5377,145,0,1,0,0,0,0,0,0
41906,23,-5382,141,0,1,0,0,0,0,0,0
41916,20,-5377,148,0,1,0,0,0,0,0,0
41926,27,-5379,145,0,1,0,0,0,0,0,0
41936,33,-5370,135,0,1,0,0,0,0,0,0
41946,15,-5379,141,0,1,0,0,0,0,0,0
41956,21,-5390,148,0,1,0,0,0,0,0,0
41966,20,-5394,151,0,1,0,0,0,0,0,0
41976,31,-5380,145,0,1,0,0,0,0,0,0
41986,28,-5382,147,0,1,0,0,0,0,0,0
41999,15,-5384,148,0,1,0,0,0,0,0,0
42009,19,-5385,145,0,1,0,0,0,0,0,0
42019,26,-5382,139,0,1,0,0,0,0,0,0
42029,29,-5395,136,0,1,0,0,0,0,0,0
42039,22,-5391,146,0,1,0,0,0,0,0,0
42049,25,-5385,135,0,1,0,0,0,0,0,0
42059,11,-5383,136,0,1,0,0,0,0,0,0
42060,18,-5380,148,0,1,0,0,0,0,0,0
42070,14,-5380,136,0,1,0,0,0,0,0,0
42080,20,-5381,133,0,1,0,0,0,0,0,0
42094,23,-5371,146,0,1,0,0,0,0,0,0
42104,27,-5383,135,0,1,0,0,0,0,0,0
42115,25,-5393,145,0,1,0,0,0,0,0,0
42125,23,-5396,143,0,1,0,0,0,0,0,0
42138,11,-5392,145,0,1,0,0,0,0,0,0
42148,19,-5387,155,0,1,0,0,0,0,0,0
42158,18,-5389,135,0,1,0,0,0,0,0,0
42168,22,-5395,138,0,1,0,0,0,0,0,0
42178,29,-5385,134,0,1,0,0,0,0,0,0
42188,12,-5372,132,0,1,1,0,0,0,0,0
42198,22,-5379,142,0,1,1,0,0,0,0,0
42208,28,-5382,147,0,1,1,1,0,0,0,0
42211,26,-5382,136,0,1,1,0,0,0,0,0
42221,28,-5375,139,0,1,1,0,0,0,0,0
42232,16,-5379,145,0,1,1,0,0,0,0,0
42242,22,-5384,137,0,1,1,0,0,0,0,0
42253,32,-5389,137,0,1,1,0,0,0,0,0
42263,13,-5390,145,0,1,1,0,0,0,0,0
42274,10,-5375,140,0,1,1,0,0,0,0,0
42284,24,-5368,148,0,1,1,0,0,0,0,0
42295,9,-5373,136,0,1,1,0,0,0,0,0
42305,15,-5398,139,0,1,1,0,0,0,0,0
